rule_id,query_name,industry,objective,category,subcategory,source_query_syntax,apply_on,speaker_hint,required_groups,forbidden_terms,window_seconds,first_n_seconds_only,exclude_first_n_seconds,compiled_regex,notes,regex_flags
11,Accepting Payments 8.5,Comcast,,Billing,Payments,"AP=OR(NOTLIKE(""payment has been made"",""statement has been returned"",""appointment has been made"",\
""payment to the bank""),""payment has been accepted"",""payment has gone through"",\
NOTLIKE(""payment has processed"",""payment is processing"",""appointment has been made"",""payment of one""))
",Full conversation text (timestamps & speaker labels allowed),No specific speaker constraint (match anywhere),"[[""payment has been made"", ""statement has been returned"", ""appointment has been made"", ""payment to the bank"", ""payment has been accepted"", ""payment has gone through"", ""payment has processed"", ""payment is processing"", ""appointment has been made"", ""payment of one""]]","[""payment has been made"", ""statement has been returned"", ""appointment has been made"", ""\""payment to the bank"", ""payment has processed"", ""payment is processing"", ""appointment has been made"", ""payment of one""]",,,,"^(?!.*payment\s+has\s+been\s+made)(?!.*statement\s+has\s+been\s+returned)(?!.*appointment\s+has\s+been\s+made)(?!.*""payment\s+to\s+the\s+bank)(?!.*payment\s+has\s+processed)(?!.*payment\s+is\s+processing)(?!.*appointment\s+has\s+been\s+made)(?!.*payment\s+of\s+one)(?=.*(?:payment\s+has\s+been\s+made|statement\s+has\s+been\s+returned|appointment\s+has\s+been\s+made|payment\s+to\s+the\s+bank|payment\s+has\s+been\s+accepted|payment\s+has\s+gone\s+through|payment\s+has\s+processed|payment\s+is\s+processing|appointment\s+has\s+been\s+made|payment\s+of\s+one)).*$",,IGNORECASE
12,Account Number,Comcast,,DPA,DPA,"AccountNumber = NOTLIKE( OR( NOTLIKE( ""your account number"",""your phone number"",""on your account"",""your account for"",\
""new house number"",""security number"",""channel numbner"",""down the number"",""your account up"",""reach us number"",\
""best number"",""channel number"",""ticket number"",""job number""),""account number""), \
""record number"",""ticket number"",""tracking number"",""channel number"",""phone number"",""security number"",\
""serial number"",""credit card number"",""house number"",""direct number"",""best number"",""pin number"",""card number"",""job number"")

",Full conversation text (timestamps & speaker labels allowed),No specific speaker constraint (match anywhere),"[[""your account number"", ""your phone number"", ""on your account"", ""your account for"", ""new house number"", ""security number"", ""channel numbner"", ""down the number"", ""your account up"", ""reach us number"", ""best number"", ""channel number"", ""ticket number"", ""job number"", ""account number"", ""record number"", ""ticket number"", ""tracking number"", ""channel number"", ""phone number"", ""security number"", ""serial number"", ""credit card number"", ""house number"", ""direct number"", ""best number"", ""pin number"", ""card number"", ""job number""]]",[],,,,^(?=.*(?:your\s+account\s+number|your\s+phone\s+number|on\s+your\s+account|your\s+account\s+for|new\s+house\s+number|security\s+number|channel\s+numbner|down\s+the\s+number|your\s+account\s+up|reach\s+us\s+number|best\s+number|channel\s+number|ticket\s+number|job\s+number|account\s+number|record\s+number|ticket\s+number|tracking\s+number|channel\s+number|phone\s+number|security\s+number|serial\s+number|credit\s+card\s+number|house\s+number|direct\s+number|best\s+number|pin\s+number|card\s+number|job\s+number)).*$,,IGNORECASE
13,Account Number 8.5,Comcast,,DPA,DPA,"AccountNumber = OR(NOTLIKE( ""your account number"",""your account"",""your home"",""your pin number"",""serial number"",\
""security number""),NOTLIKE(""the account number"",""that number"",""except the number"",""the account"",""second number""),\
NOTLIKE(""account number is"",""except the number"",\
""phone number"",""call the number"",""the card number"",""cell number"",""customer phone number""),\
NOTLIKE(""account number"",""phone number"",""serial number"",""job number"",""another number"",""social security number""), \
NOTLIKE(""digits of the account number"",""digits of the phone number""))
",Full conversation text (timestamps & speaker labels allowed),No specific speaker constraint (match anywhere),"[[""your account number"", ""your account"", ""your home"", ""your pin number"", ""serial number"", ""security number"", ""the account number"", ""that number"", ""except the number"", ""the account"", ""second number"", ""account number is"", ""except the number"", ""phone number"", ""call the number"", ""the card number"", ""cell number"", ""customer phone number"", ""account number"", ""phone number"", ""serial number"", ""job number"", ""another number"", ""social security number"", ""digits of the account number"", ""digits of the phone number""]]","[""your account number"", ""your account"", ""your home"", ""your pin number"", ""serial number"", ""\""security number"", ""the account number"", ""that number"", ""except the number"", ""the account"", ""second number"", ""account number is"", ""except the number"", ""\""phone number"", ""call the number"", ""the card number"", ""cell number"", ""customer phone number"", ""account number"", ""phone number"", ""serial number"", ""job number"", ""another number"", ""social security number"", ""digits of the account number"", ""digits of the phone number""]",,,,"^(?!.*your\s+account\s+number)(?!.*your\s+account)(?!.*your\s+home)(?!.*your\s+pin\s+number)(?!.*serial\s+number)(?!.*""security\s+number)(?!.*the\s+account\s+number)(?!.*that\s+number)(?!.*except\s+the\s+number)(?!.*the\s+account)(?!.*second\s+number)(?!.*account\s+number\s+is)(?!.*except\s+the\s+number)(?!.*""phone\s+number)(?!.*call\s+the\s+number)(?!.*the\s+card\s+number)(?!.*cell\s+number)(?!.*customer\s+phone\s+number)(?!.*account\s+number)(?!.*phone\s+number)(?!.*serial\s+number)(?!.*job\s+number)(?!.*another\s+number)(?!.*social\s+security\s+number)(?!.*digits\s+of\s+the\s+account\s+number)(?!.*digits\s+of\s+the\s+phone\s+number)(?=.*(?:your\s+account\s+number|your\s+account|your\s+home|your\s+pin\s+number|serial\s+number|security\s+number|the\s+account\s+number|that\s+number|except\s+the\s+number|the\s+account|second\s+number|account\s+number\s+is|except\s+the\s+number|phone\s+number|call\s+the\s+number|the\s+card\s+number|cell\s+number|customer\s+phone\s+number|account\s+number|phone\s+number|serial\s+number|job\s+number|another\s+number|social\s+security\s+number|digits\s+of\s+the\s+account\s+number|digits\s+of\s+the\s+phone\s+number)).*$",,IGNORECASE
14,Account Number_First 45,Comcast,,DPA,DPA,"Account_Number = FIRST_45( NOTLIKE( OR( ""your account number"",""the account number"",""account number is"", ""Account Number"" ), \
""phone number"",""serial number"",""job number"",""another number"",""social security number"" ) )
",Full conversation text (timestamps & speaker labels allowed),No specific speaker constraint (match anywhere),"[[""your account number"", ""the account number"", ""account number is"", ""Account Number""]]",[],,45,,^(?=.*(?:your\s+account\s+number|the\s+account\s+number|account\s+number\s+is|Account\s+Number)).*$,,IGNORECASE
15,Account Number_First 45 8.5,Comcast,,DPA,DPA,"Account_Number=OR(""your account number"",""the account number"",""account number is"")
False_Account_number=NOTLIKE(Account_Number,""phone number"",""serial number"",""job number"",\
""another number"",""social security number"")
Result=FIRST_45(False_Account_Number)
",Full conversation text (timestamps & speaker labels allowed),No specific speaker constraint (match anywhere),"[[""your account number"", ""the account number"", ""account number is""], [""False_Account_Number""]]","[""Account_Number"", ""phone number"", ""serial number"", ""job number"", ""\""another number"", ""social security number""]",,45,,"^(?!.*Account_Number)(?!.*phone\s+number)(?!.*serial\s+number)(?!.*job\s+number)(?!.*""another\s+number)(?!.*social\s+security\s+number)(?=.*(?:your\s+account\s+number|the\s+account\s+number|account\s+number\s+is))(?=.*(?:False_Account_Number)).*$",,IGNORECASE
16,Account Number_First_120 8.5,Comcast,,DPA,DPA,"AccountNumber = OR( ""your account number"", ""the account number"", ""account number is"", \
NOTLIKE(""account number"",""phone number"",""serial number"",""job number"",""another number"",""social security number""))

Result = FIRST_120(AccountNumber)
",Full conversation text (timestamps & speaker labels allowed),No specific speaker constraint (match anywhere),"[[""your account number"", ""the account number"", ""account number is""], [""AccountNumber""]]","[""account number"", ""phone number"", ""serial number"", ""job number"", ""another number"", ""social security number""]",,120,,^(?!.*account\s+number)(?!.*phone\s+number)(?!.*serial\s+number)(?!.*job\s+number)(?!.*another\s+number)(?!.*social\s+security\s+number)(?=.*(?:your\s+account\s+number|the\s+account\s+number|account\s+number\s+is))(?=.*(?:AccountNumber)).*$,,IGNORECASE
17,Activation Department,Comcast,,Account related,Activation,"ActivationDepartment = NOTFIRST_60( NOTLIKE( ""Activation Department"",""Activations Fee"",\
""Cancellation Department"",""Retention Department"",""Billing Department"",""Troubleshooting department"",\
""Connection"",""Collection Department"",""Technicians department"",""Troubleshooting department"" ) )
",Full conversation text (timestamps & speaker labels allowed),No specific speaker constraint (match anywhere),"[[""Activation Department"", ""Activations Fee"", ""Cancellation Department"", ""Retention Department"", ""Billing Department"", ""Troubleshooting department"", ""Connection"", ""Collection Department"", ""Technicians department"", ""Troubleshooting department""]]","[""Activation Department"", ""Activations Fee"", ""\""Cancellation Department"", ""Retention Department"", ""Billing Department"", ""Troubleshooting department"", ""\""Connection"", ""Collection Department"", ""Technicians department"", ""Troubleshooting department""]",,,60,"^(?!.*Activation\s+Department)(?!.*Activations\s+Fee)(?!.*""Cancellation\s+Department)(?!.*Retention\s+Department)(?!.*Billing\s+Department)(?!.*Troubleshooting\s+department)(?!.*""Connection)(?!.*Collection\s+Department)(?!.*Technicians\s+department)(?!.*Troubleshooting\s+department)(?=.*(?:Activation\s+Department|Activations\s+Fee|Cancellation\s+Department|Retention\s+Department|Billing\s+Department|Troubleshooting\s+department|Connection|Collection\s+Department|Technicians\s+department|Troubleshooting\s+department)).*$",,IGNORECASE
18,Activation Department 8.5,Comcast,,Account related,Activation,"Activation=NOTFIRST_60(NOTLIKE(""Activation Department"",""Activations Fee"",\
""Cancellation Department"",""Retention Department"",""Billing Department"",\
""Connection"",""Collection Department""))
",Full conversation text (timestamps & speaker labels allowed),No specific speaker constraint (match anywhere),"[[""Activation Department"", ""Activations Fee"", ""Cancellation Department"", ""Retention Department"", ""Billing Department"", ""Connection"", ""Collection Department""]]","[""Activation Department"", ""Activations Fee"", ""\""Cancellation Department"", ""Retention Department"", ""Billing Department"", ""\""Connection"", ""Collection Department""]",,,60,"^(?!.*Activation\s+Department)(?!.*Activations\s+Fee)(?!.*""Cancellation\s+Department)(?!.*Retention\s+Department)(?!.*Billing\s+Department)(?!.*""Connection)(?!.*Collection\s+Department)(?=.*(?:Activation\s+Department|Activations\s+Fee|Cancellation\s+Department|Retention\s+Department|Billing\s+Department|Connection|Collection\s+Department)).*$",,IGNORECASE
19,Actual Bill Pay,Comcast,,Billing,Payments,"Pay=""Expiration date""
Card=NOTLIKE(""Visa or Master card"",""very much for"",""so that"",""for calling"")

Result=OR(Pay, Card)
",Full conversation text (timestamps & speaker labels allowed),No specific speaker constraint (match anywhere),"[[""Pay"", ""Card""]]","[""Visa or Master card"", ""very much for"", ""so that"", ""for calling""]",,,,^(?!.*Visa\s+or\s+Master\s+card)(?!.*very\s+much\s+for)(?!.*so\s+that)(?!.*for\s+calling)(?=.*(?:Pay|Card)).*$,,IGNORECASE
20,Actual Bill Pay 8.5,Comcast,,Billing,Payments,"BillPay=OR(""how would you like to make the payment"", NOTLIKE(""ready for the card number"", ""ready for the routing number"", \
""your account number""))
Pay=NOTLIKE(""expiration date"", ""explanation"")
Card=OR(""visa or master card"", ""Master card"")
Routing=NOTLIKE(OR(""Routing number"", ""have the routing number""), ""tracking number"", \
""phone number"", ""right number"")

Result=OR(BillPay, Pay, Card, Routing)
",Full conversation text (timestamps & speaker labels allowed),No specific speaker constraint (match anywhere),"[[""visa or master card"", ""Master card""], [""Routing number"", ""have the routing number""], [""BillPay"", ""Pay"", ""Card"", ""Routing""]]","[""ready for the card number"", ""ready for the routing number"", ""\""your account number"", ""expiration date"", ""explanation""]",,,,"^(?!.*ready\s+for\s+the\s+card\s+number)(?!.*ready\s+for\s+the\s+routing\s+number)(?!.*""your\s+account\s+number)(?!.*expiration\s+date)(?!.*explanation)(?=.*(?:visa\s+or\s+master\s+card|Master\s+card))(?=.*(?:Routing\s+number|have\s+the\s+routing\s+number))(?=.*(?:BillPay|Pay|Card|Routing)).*$",,IGNORECASE
21,Address Change,Comcast,,Account related,Address Change,"AddressChange = NOTLIKE( OR( ""Change billing address"",""change of address"",""change the address"", \
""change my address"",""the new address is"",""change that address"" ), \
""updated billing address"", ""change the adapter"",""change of channel"",""change channels"" )
",Full conversation text (timestamps & speaker labels allowed),No specific speaker constraint (match anywhere),"[[""Change billing address"", ""change of address"", ""change the address"", ""\""change my address"", ""the new address is"", ""change that address""]]",[],,,,"^(?=.*(?:Change\s+billing\s+address|change\s+of\s+address|change\s+the\s+address|""change\s+my\s+address|the\s+new\s+address\s+is|change\s+that\s+address)).*$",,IGNORECASE
22,Address Change 8.5,Comcast,,Account related,Address Change,"AddressChange=OR(""change billing address"",NOTLIKE(""change of address"",""change on the package"",""for changing"",\
""change your level"",""change your package"",""name and address please"",""change on the service""),\
NOTLIKE(""change the address"",""change with the different"",""change the service""),\
NOTLIKE(""change my address"",""give you my address"",""change the level"",""change of""),\
NOTLIKE(""the new address is"",""the new browser"",""your address""),\
NOTLIKE(""change that address"",""change that""),""updated billing address"")

",Full conversation text (timestamps & speaker labels allowed),No specific speaker constraint (match anywhere),"[[""change billing address""]]","[""change of address"", ""change on the package"", ""for changing"", ""\""change your level"", ""change your package"", ""change on the service"", ""change the address"", ""change with the different"", ""change the service"", ""change my address"", ""give you my address"", ""change the level"", ""change of"", ""the new address is"", ""the new browser"", ""your address"", ""change that address"", ""change that""]",,,,"^(?!.*change\s+of\s+address)(?!.*change\s+on\s+the\s+package)(?!.*for\s+changing)(?!.*""change\s+your\s+level)(?!.*change\s+your\s+package)(?!.*change\s+on\s+the\s+service)(?!.*change\s+the\s+address)(?!.*change\s+with\s+the\s+different)(?!.*change\s+the\s+service)(?!.*change\s+my\s+address)(?!.*give\s+you\s+my\s+address)(?!.*change\s+the\s+level)(?!.*change\s+of)(?!.*the\s+new\s+address\s+is)(?!.*the\s+new\s+browser)(?!.*your\s+address)(?!.*change\s+that\s+address)(?!.*change\s+that)(?=.*(?:change\s+billing\s+address)).*$",,IGNORECASE
